#{"t_start": 1718361815.4702451, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-1.185769,161,1.768205
-116.494095,985,7.738922
41.128087,965,13.436099
15.700204,218,14.704942
-16.080637,16,14.798334
49.275343,1000,20.739348
12.999522,320,22.663959
16.884281,461,68.117024
-13.621591,10,68.212659
-26.297079,379,71.137328
39.345241,1000,77.193783
-21.021795,330,79.139346
102.047789,1000,85.039398
106.133488,769,89.700144
82.244463,529,93.198758
38.839728,502,139.350115
0.062421,1000,145.304867
-14.048008,289,147.022734
-10.59035,11,147.08675
77.529531,1000,153.105491
-2.812044,76,153.566189
42.266353,863,158.747248
5.623623,1000,208.196051
-11.289961,137,209.007893
-24.832837,165,209.975842
-39.887952,214,211.234736
-24.696933,1000,217.218858
-32.988685,375,219.463498
-10.09702,497,222.412539
71.95888,1000,228.683205
