#{"t_start": 1718361815.3221333, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-47.889382,1000,7.015844
24.619644,349,9.092792
19.58591,1000,14.967984
-21.321274,1000,20.911129
10.556016,903,69.39605
-37.032452,648,73.577488
-24.160486,129,74.40085
-47.897676,91,74.976829
176.373973,1000,80.911322
28.427246,293,82.644389
2.888666,83,83.130462
9.158309,673,87.142194
-40.430756,1000,93.54405
76.076328,1000,142.607651
-4.296574,11,142.67408
128.560598,723,146.983877
-10.986914,10,147.042717
-3.838724,207,148.273077
-5.723041,284,149.989044
34.070994,360,152.138913
118.277786,1000,158.181304
-1.86128,740,205.862756
-8.544884,1000,211.999981
-11.203459,10,212.05895
-8.975448,10,212.11766
35.563325,499,215.080363
34.706931,1000,221.08831
-1.496635,1000,227.017474
96.583355,733,274.794749
7.414001,1000,280.848328
-43.303979,254,282.405994
39.460747,1000,288.437222
0.239269,60,288.7955
18.665228,584,292.287189
-6.220727,449,295.022653
139.785824,652,341.847433
-42.799213,188,343.269176
-56.462411,1000,349.185679
41.533889,1000,355.095213
-23.684778,123,355.841568
0.19048,519,358.952993
-15.454168,21,359.075839
218.495705,1000,407.200724
46.687178,551,411.737227
14.390224,67,412.149842
73.041773,419,414.615507
23.986443,769,419.420865
58.117626,436,422.117126
193.408014,1000,428.13448
4.084713,556,431.503932
28.724291,431,476.384951
11.252162,23,476.616218
-14.789825,1000,483.365228
75.075423,1000,489.317754
-1.5344,139,490.148974
32.051792,346,492.176766
89.741854,1000,498.115119
28.634502,195,499.410466
-10.116435,43,499.743594
77.576198,926,548.521627
-4.306389,1000,554.520318
142.132774,433,557.118756
12.100439,211,558.399081
93.823813,681,562.486742
31.13842,291,564.271136
35.089585,326,566.205646
42.127393,1000,615.684199
-15.653266,565,619.065801
57.391225,529,622.221776
89.740147,1000,628.209154
151.426572,1000,634.206765
63.824788,263,635.986625
209.336006,1000,685.120338
94.716209,502,688.096624
18.952477,1000,694.01196
141.50876,1000,699.95784
18.93426,681,704.403054
-5.892587,15,704.522283
-15.102679,34,704.789603
99.20306,1000,753.382008
16.027879,213,754.645747
148.72837,1000,760.553993
-2.118604,1000,766.437399
-9.74139,16,766.532129
-8.209385,10,766.592215
62.708133,365,768.75677
20.00255,628,813.951931
152.520494,1000,830.83733
41.791216,283,832.323259
70.772328,712,836.400628
43.841044,318,838.276974
-5.855699,22,838.407376
17.460332,108,839.048196
98.844958,357,841.159132
161.183342,1000,847.686402
-7.720934,11,847.777572
109.284399,687,893.598411
100.29428,836,899.636489
273.174637,1000,905.578625
-2.436576,163,906.532486
81.142754,324,908.440628
91.25239,1000,914.787421
223.433006,1000,963.094463
44.664976,239,964.937732
102.049708,809,969.799021
225.523394,946,975.401662
101.127469,620,979.06154
