#{"t_start": 1718361815.96366, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-29.64591,222,2.164964
-8.072729,40,2.448552
-21.81467,1000,8.402971
-87.856186,599,11.921147
-86.33271,1000,17.837967
-44.002497,992,23.732109
56.0873,1000,73.126812
-3.219016,147,74.053182
-66.24512,492,76.99674
-64.962346,668,80.945839
-45.404543,171,81.950624
3.195471,234,83.325241
-56.262847,273,84.93468
-35.398253,300,86.743481
-26.059677,84,87.250065
-29.589228,1000,136.215684
-12.169131,11,136.311597
-69.656548,1000,142.744297
-52.882111,868,147.948207
-57.772226,1000,154.029394
-29.751098,218,155.356924
114.288798,1000,204.324973
45.232315,1000,210.83006
-24.805753,1000,216.897557
47.966231,960,222.677956
-20.650172,209,223.946535
-39.678295,1000,273.001279
101.356829,1000,279.374022
-49.400053,753,283.940688
-62.272382,524,287.177675
-50.266372,717,291.579199
-41.448723,1000,340.392857
-4.077672,38,340.722523
-2.83421,1000,347.131499
-56.356471,205,348.328616
-9.152319,593,351.88539
49.045198,524,355.040999
3.74997,1000,361.140053
