#{"t_start": 1718345641.9309936, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-21.794973,353,6.00766
-60.051574,918,19.294558
-106.007056,810,26.785662
-29.779056,284,29.341277
31.002876,1000,49.402539
21.283568,1000,124.085737
-34.356682,384,127.579858
-22.446597,221,129.55334
-69.97055,1000,149.229015
-44.403592,1000,158.326731
-23.881195,174,159.886254
-12.99691,13,160.03219
-42.313027,561,174.921531
-73.125347,314,178.476437
-20.235381,14,178.632404
-27.997512,306,244.789084
62.849859,1000,259.589878
-18.284755,284,263.823244
-18.276889,219,267.078893
-27.359497,83,268.311974
-9.807244,155,270.820825
12.111503,477,276.824013
-21.50174,835,285.774707
-23.004011,383,290.674408
-11.556104,1000,361.158586
-8.137313,134,362.702097
-92.732464,1000,374.079553
-71.468592,1000,385.488652
56.507674,611,401.928732
-15.536931,11,402.073946
-59.198217,528,409.340081
16.770654,766,467.372131
27.13869,1000,488.895703
-86.440237,269,492.028258
17.168011,130,493.643666
-81.410241,375,498.107878
14.035753,1000,509.624216
27.807244,965,577.731493
-9.360205,1000,592.459575
-30.703078,1000,614.870669
-75.475917,1000,626.777726
38.28196,1000,682.190546
-69.477052,1000,702.537514
-5.70361,620,709.441332
13.101883,400,713.921983
84.089807,1000,733.211959
-38.366946,582,739.637167
81.578358,546,788.906775
112.200916,1000,802.258312
-9.702544,14,802.451401
145.758978,1000,824.522559
-19.951846,43,824.90141
25.163959,659,830.898917
-10.00965,74,831.650146
-13.703161,261,834.41453
-24.623414,14,834.595747
-9.507309,26,834.932087
125.297403,642,842.200218
45.373112,1000,904.535121
23.175751,699,913.949925
6.485954,132,915.876281
41.806622,838,939.225973
-11.461918,1000,955.063681
7.560014,98,956.112567
-15.196856,358,960.111588
-7.61287,946,1017.655334
121.074762,1000,1029.7997
-40.619071,113,1031.176268
103.497971,934,1039.901907
45.014463,1000,1059.725325
-14.348485,12,1059.842154
