#{"t_start": 1718345642.055716, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
39.157401,819,12.628605
-95.118413,1000,24.2793
71.686378,1000,43.797971
-1.264645,568,49.518766
-23.543774,1000,124.171548
-31.385419,64,124.750937
26.185872,619,140.870172
15.428925,1000,149.999288
-18.028464,172,151.596896
-13.89111,10,151.700085
-69.21212,660,157.676465
1.804667,1000,176.981938
95.234299,1000,252.893732
9.468743,407,258.97928
-61.987848,991,273.80479
-78.985935,1000,284.664442
-13.5731,11,284.781785
-1.285546,167,286.649835
9.148547,541,293.337849
-101.356594,1000,363.831253
14.682884,402,368.452895
-19.217334,62,369.189272
33.684672,915,379.481108
-35.634651,930,399.174171
-8.422558,396,404.52832
149.207678,827,464.185615
-20.095637,1000,485.551976
-40.245548,1000,497.381595
-3.91764,24,497.664295
-9.48536,720,506.026958
179.445238,1000,527.59265
57.523201,1000,588.403924
-12.673816,154,590.627823
-3.017466,190,593.385951
-39.724421,517,600.975375
46.632144,412,614.761325
22.975615,1000,626.668461
81.526238,739,635.902857
12.934483,1000,699.517976
42.931617,1000,710.651291
24.349495,1000,721.472861
-12.494418,112,722.738498
-40.275861,450,735.853824
53.073215,447,741.521459
168.844325,1000,796.596423
84.622718,1000,820.604251
-41.778004,695,826.906999
128.312782,886,835.856987
35.693826,436,840.739518
-23.924223,62,841.46147
-13.975158,253,855.870394
101.89016,746,903.923973
80.122222,1000,917.419465
-30.76404,159,919.710416
-38.330741,1000,946.2608
105.808435,471,953.926006
4.252809,318,957.352555
24.030785,371,961.416774
57.047324,1000,1019.857383
-9.162915,169,1021.891977
56.990361,407,1026.786972
117.498758,990,1037.197542
175.350227,1000,1056.221173
