#{"t_start": 1718345949.2079198, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-11.804765,22,1.03486
13.221262,73,2.051259
-5.985933,59,2.833488
-46.306636,414,7.25939
-48.953658,442,13.12133
56.626334,1000,25.224252
-93.646633,1000,47.123336
-12.281426,201,48.951559
-64.664521,1000,112.472641
-5.585207,10,112.582891
12.423888,1000,137.684448
-13.920368,11,137.839006
5.38113,81,138.889309
-9.884598,193,141.221104
-12.304583,12,141.362392
86.733563,1000,154.242849
-0.424442,1000,173.689542
77.218324,453,179.428644
-11.757772,14,179.622357
24.047354,496,251.494756
-15.278088,798,265.345876
99.143531,1000,278.190853
71.195189,639,286.44135
-13.25391,62,287.293489
-13.138846,9,287.41824
-38.179704,225,290.901641
10.332439,511,298.993305
54.495186,1000,385.569711
44.451976,523,389.873752
-13.740666,12,389.969686
15.404393,1000,399.390505
-8.472403,44,399.964771
-64.347654,963,417.267235
-14.854486,12,417.362826
87.102994,1000,425.725619
12.900218,1000,472.317473
-35.181688,263,482.516616
3.525478,23,482.819708
-15.048138,1000,496.128219
5.789998,28,496.498183
-78.143517,613,504.510953
-12.082452,1000,524.862559
-12.566366,29,525.215016
78.251159,1000,572.172021
-23.621924,169,573.946666
-67.829593,381,578.009689
-15.682969,48,578.510406
-107.185012,498,582.885269
-42.332166,412,594.138582
22.462023,413,597.565217
6.555447,1000,611.034809
-38.038949,650,657.943247
33.99044,415,671.246333
7.051743,1000,679.932577
64.478335,327,682.555917
43.885673,342,685.323831
-15.451699,24,685.512584
-39.42492,1000,703.971885
39.708211,309,706.578374
42.248462,1000,754.695009
-130.075627,1000,772.212096
