#{"t_start": 1718340157.6485033, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-74.47734,968,7.787685
-0.984351,68,8.291796
-19.73086,11,8.375111
65.669909,1000,15.82394
-23.838422,272,17.87973
32.663597,569,22.133167
-98.249042,1000,28.92892
-2.019223,117,29.68714
50.086569,1000,83.613582
5.75384,128,84.38959
17.638491,1000,91.501149
2.401562,213,93.173227
86.260642,1000,100.473098
-32.424606,1000,147.383634
-10.576012,26,147.661254
49.434978,450,152.320967
-8.963537,11,152.424206
-36.34312,1000,161.586346
24.783997,144,162.913342
-30.937847,560,176.937514
70.649291,375,179.235432
-8.272444,338,181.326407
85.977946,671,185.468532
3.995608,81,185.979666
58.564511,455,228.979068
78.727805,859,238.761308
-4.028273,308,241.535687
-46.374667,168,243.079699
61.540155,1000,252.068533
-8.002647,804,266.652114
-11.986634,170,267.574366
10.673253,1000,315.03916
-41.158952,880,324.344856
-20.693441,228,326.51651
42.009091,1000,335.363154
-5.92045,61,335.802227
34.118311,1000,342.634615
-16.172565,106,343.867981
-131.414071,1000,387.640091
22.254908,369,391.90393
36.269874,835,400.858263
15.953895,1000,410.934052
41.798967,1000,418.816362
-36.934045,1000,471.728412
