#{"t_start": 1718361814.423427, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
119.197205,1000,6.891925
-37.96345,34,7.092779
-27.475559,101,7.678393
-1.245046,12,7.749166
-11.486594,9,7.80249
-29.720706,1000,13.664749
-5.442873,24,13.803678
67.197237,613,17.383268
12.583411,527,20.469177
-36.18709,883,67.768083
92.32849,475,71.86015
11.864193,139,72.683797
-74.15465,1000,78.712871
-56.024328,508,81.704786
-11.203504,117,82.403234
-8.430969,25,82.547181
158.939749,947,88.128038
36.564711,341,90.206863
-2.326048,16,90.302194
35.910151,1000,139.750481
-23.665727,557,143.045936
-44.170164,230,144.405939
48.791019,1000,150.33149
-1.677142,50,150.630699
29.24898,187,151.736123
-9.357141,15,151.825102
-9.612432,10,151.884725
33.78939,328,153.830965
-19.914492,284,155.5728
-0.684771,1000,203.239244
42.699082,1000,210.693426
-6.567252,351,212.73408
59.089063,1000,218.676947
62.35965,1000,224.579828
-23.160625,43,224.837818
-15.689261,1000,273.287781
-101.418206,802,278.756226
18.308425,1000,284.804282
47.045153,1000,290.864735
30.436251,311,292.716226
-41.888754,189,293.870373
-41.358574,1000,342.738161
-11.147801,11,342.833302
-40.139561,34,343.113399
33.505191,1000,349.278838
8.799398,175,350.299074
-10.562001,10,350.361187
-3.095366,1000,356.400089
-17.978414,916,361.995792
15.247822,980,411.017457
1.234039,607,414.926159
-88.714454,603,418.590657
90.128193,1000,424.925352
66.214065,663,428.899646
-15.795873,155,429.818998
-18.265785,80,430.314606
10.10216,224,431.648821
11.641771,26,431.802782
7.278496,1000,480.768672
-79.160518,1000,486.705325
42.641756,725,490.979654
56.858553,1000,496.878086
84.283025,1000,545.370011
-88.572435,285,547.736341
-3.060367,259,549.400505
239.217718,972,555.167905
0.699478,339,557.175881
-6.59753,11,557.244557
-11.77374,145,558.122178
-1.810711,1000,564.11155
8.90442,106,564.739794
-30.952401,290,566.459495
7.455016,1000,615.774611
94.26222,1000,621.873885
-7.872061,534,625.111441
123.208341,1000,631.218777
-41.483659,202,632.463289
-4.801052,846,678.971335
60.071887,1000,686.798931
-15.746063,115,687.484365
18.938145,1000,693.424001
29.12378,1000,699.306862
-67.736521,1000,746.379279
94.387533,1000,754.289561
17.210959,119,755.000407
-12.218813,12,755.073237
-68.666058,1000,760.972983
82.811472,1000,766.871618
94.290442,1000,813.802256
28.869407,145,815.273767
30.414614,234,817.603522
-5.002742,1000,832.231151
26.666321,1000,837.885922
-21.280379,291,839.597459
22.395149,330,841.53758
52.440186,284,843.211915
-5.140435,86,843.719558
-2.435607,37,843.93621
3.954707,22,844.067341
48.448808,503,885.465016
3.100975,337,888.903562
-45.630164,932,897.648982
1.582691,28,897.853685
-21.96934,19,897.991773
-3.014781,71,898.526811
79.233113,550,901.778369
-19.703293,15,901.863676
11.828893,123,902.590106
53.761229,1000,908.446309
-24.415885,18,908.55364
-50.319484,1000,952.527422
-14.809441,9,952.621038
-56.025648,770,960.257527
-52.2753,1000,968.074812
77.319406,1000,973.986921
-30.639916,131,974.749574
97.741352,812,979.546295
78.112761,448,1020.040242
8.053194,1000,1029.934767
-12.689707,12,1030.061165
109.243816,837,1036.205304
23.316597,141,1037.020159
-20.209172,47,1037.295154
-42.18584,1000,1043.200577
-40.913492,384,1045.455688
-7.90117,167,1046.43437
29.891366,1000,1091.69453
3.306319,193,1093.636545
14.357947,97,1094.640676
-14.86744,883,1102.436147
60.744753,1000,1108.343967
-17.181858,124,1109.07611
-22.819516,118,1109.759192
-43.531609,225,1111.083783
-7.696004,12,1111.152323
4.244983,28,1111.315695
146.333979,1000,1154.834877
-26.305423,531,1160.279808
-77.665691,735,1167.415756
40.427188,576,1171.381444
38.4262,402,1173.779292
-7.463842,250,1175.244338
-36.284409,21,1175.367337
-5.74105,10,1175.426543
-90.110342,610,1179.001148
101.229367,568,1216.852559
49.881856,329,1220.838984
18.916418,138,1222.331843
-84.262235,1000,1232.315832
68.004402,1000,1239.80968
-67.111698,1000,1245.698605
-5.716833,13,1245.779476
49.557691,434,1248.351255
128.198232,1000,1292.659756
133.562987,746,1299.965608
29.282223,704,1305.661133
-16.275327,11,1305.725882
70.700045,1000,1311.594663
21.91244,1000,1351.666909
-118.563247,1000,1362.127773
26.371693,1000,1371.494326
-9.796947,1000,1377.486728
-58.803008,1000,1416.5224
-33.468625,495,1421.990815
-2.772462,77,1422.829759
-64.498175,873,1431.489696
31.541273,1000,1440.483107
4.158928,372,1442.719599
-51.545155,177,1443.771078
-13.335,48,1444.044765
-15.477157,87,1444.55635
-84.933383,1000,1482.789151
48.266225,334,1486.657267
33.069249,395,1490.936494
11.984285,1000,1500.715702
-49.346286,322,1503.831906
76.784523,1000,1511.074154
-19.34533,89,1511.590468
-40.3189,475,1514.375134
-18.159648,719,1551.066836
26.024762,118,1552.439823
-21.409768,106,1553.661981
-34.551487,1000,1564.140022
-6.70086,413,1568.238541
-17.547477,24,1568.480532
-43.817411,431,1572.706088
-11.78402,95,1573.623474
-100.893135,877,1579.422855
49.825802,461,1582.138363
-13.024409,14,1582.221893
