#{"t_start": 1718340157.7526157, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-1.185769,161,2.120528
-116.494095,985,9.152968
41.128087,965,16.506649
15.700204,218,18.162135
-16.080637,16,18.287243
49.275343,1000,25.749493
12.999522,320,27.944319
16.884281,461,68.13327
-13.621591,10,68.221404
-26.297079,379,70.851042
39.345241,1000,88.315305
-21.021795,330,90.775094
102.047789,1000,98.409191
106.133488,769,103.204301
82.244463,529,106.598228
38.839728,502,152.543692
0.062421,1000,161.733466
-14.048008,289,164.462643
-10.59035,11,164.561391
77.529531,1000,180.689033
-2.812044,76,181.135736
42.266353,863,186.452552
5.623623,1000,235.823482
-11.289961,137,237.255875
-24.832837,165,238.847279
-39.887952,214,240.7197
-24.696933,1000,249.926683
-32.988685,375,252.958588
-10.09702,497,265.539364
71.95888,1000,271.48851
73.673798,385,315.794976
62.167992,989,326.052566
-9.634604,9,326.136405
-20.307279,49,326.579387
18.724917,194,328.392843
-9.362582,35,328.717842
53.0057,847,335.864986
85.843097,1000,342.738605
-9.166339,55,343.135998
74.769882,1000,387.254312
-9.646695,35,387.673048
94.594352,399,392.332051
24.481729,592,398.848581
-4.526409,12,398.975415
-14.455125,27,399.266608
56.176581,1000,409.630017
144.357868,1000,417.970863
85.227312,988,459.741211
138.349383,1000,471.222501
