#{"t_start": 1718340159.2327964, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
26.792863,752,6.115101
-14.990136,12,6.204066
-62.495595,234,7.962672
-17.939441,83,8.590169
-51.390322,1000,16.120345
-110.634712,1000,23.53156
-13.001706,960,30.044731
-17.619497,51,30.485689
-18.237173,23,67.659442
-6.689418,12,67.744429
-96.383674,1000,85.779515
-137.357929,691,91.188152
-59.044757,1000,98.641696
-76.122285,314,100.622763
-6.254622,18,100.738519
5.908827,221,102.120162
-38.762609,258,103.739248
-10.646668,1000,154.632441
0.62931,327,157.65865
45.175915,528,162.583404
-100.333242,1000,180.214469
-11.51434,12,180.285637
139.389433,639,184.249617
-57.708162,844,190.333273
-6.999642,113,191.29096
51.130082,1000,243.620377
8.681885,113,244.664933
-4.021763,150,246.058243
81.277356,1000,254.28534
0.476595,1000,269.932158
28.169093,1000,277.720367
-25.814614,916,330.5432
-12.783334,64,331.121213
-9.900241,13,331.236487
-4.122807,167,332.76417
93.214794,1000,339.742659
27.270249,679,344.349977
2.60193,74,344.811016
63.652658,465,348.213787
-111.126128,1000,408.562452
-33.592741,204,410.463895
-14.929216,213,412.296461
5.292682,520,416.307649
-4.779664,260,417.998887
107.711398,1000,425.587093
-18.543736,534,430.190228
-23.427876,886,438.539752
-3.326998,14,438.682763
-9.757258,9,438.776657
-11.37977,11,438.883468
