#{"t_start": 1718459238.6706023, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
49.790434,480,3.784009
-120.520726,118,4.532893
-60.088112,94,5.114403
-209.72359,128,5.907826
-79.372147,89,6.44857
-61.768466,93,7.034715
-119.576222,134,7.874674
-183.836106,227,9.301047
-158.256804,117,10.049898
-312.438679,154,11.013777
-120.331199,119,11.751516
-236.920214,147,12.66012
-165.634793,127,13.462199
-100.995913,93,14.048187
-183.306616,204,15.290551
-54.082816,290,17.109445
-21.762075,148,18.074357
-89.966317,169,19.131106
-74.526257,104,19.783923
-245.211586,143,20.669358
72.929674,187,21.850266
-36.921764,295,23.693059
-70.196868,102,24.344628
-63.258259,84,24.877867
-40.972371,349,45.205898
-14.286623,160,46.165091
-87.321668,98,46.779228
20.763508,166,48.026732
-76.860603,142,48.943709
-62.284589,118,49.859586
22.52258,357,52.665267
-65.313169,57,53.049801
-101.606258,136,53.951065
-171.064917,171,55.38337
-54.991256,74,56.009959
-113.200833,134,56.921018
-45.716227,127,57.758204
-36.402565,98,58.436021
-115.280327,105,59.174632
-51.831574,68,59.792147
-59.433278,101,60.596879
-56.23609,97,61.214659
-7.108116,347,63.842595
-82.325519,85,64.390975
48.678463,431,67.239867
-234.609047,202,68.579138
4.873826,395,71.208148
-96.40144,144,72.110624
-160.160831,110,72.806218
-92.770004,121,93.421497
-2.708813,438,96.241932
-98.123351,167,97.399346
-20.163166,420,100.13553
-3.688079,350,102.418817
39.176439,380,104.977707
-115.242453,129,105.817171
-77.909918,160,106.879631
-69.108571,96,107.507821
-146.157858,105,108.190136
-55.907336,529,111.605008
-95.628702,75,112.096551
-92.009583,155,113.104468
-89.52555,130,113.964049
-45.336546,137,114.859011
-109.177624,119,115.646416
-21.818067,504,118.870236
-132.641534,125,119.681052
-174.661126,263,139.45606
-66.963827,128,140.270998
-134.420627,138,141.178128
-121.93406,119,141.961392
-97.948772,114,142.716032
-78.712287,103,143.395238
-70.425578,124,144.231339
-50.545669,63,144.65858
-139.796816,98,145.301841
-36.685684,139,146.1984
13.974423,399,148.813237
-77.757092,219,150.245611
25.137638,305,152.232203
-36.304837,98,153.148436
-64.781054,160,154.667531
-46.216478,438,157.534369
-63.397742,84,158.079645
18.327751,414,160.776456
-129.380636,147,161.734758
-13.291411,299,163.672623
-61.189176,108,164.359227
-99.041665,140,165.282736
-113.613807,124,183.8774
-60.377446,74,184.343037
-46.025249,143,185.275141
-113.086828,115,186.028758
-79.032277,125,186.861531
-55.561922,95,187.483432
-47.315606,84,188.033368
-67.672185,146,188.983807
-148.829078,132,189.829981
-87.720048,195,191.073823
-71.901781,124,191.874717
-78.124556,141,192.778279
-3.224334,213,194.161873
-398.986881,211,195.536355
14.086662,594,199.369625
35.498024,354,201.656443
-200.520064,136,202.516784
-192.522122,139,203.421474
-318.866032,181,204.59745
-65.520873,97,205.223879
-187.806272,233,206.741716
-114.149473,298,208.655924
-17.861353,100,209.289292
-11.615021,453,230.132942
-91.778634,80,230.648584
124.640876,439,233.497079
-113.461819,92,234.094479
-66.713041,390,236.642502
-65.755178,73,237.121051
-62.224278,93,237.714848
-77.930848,194,238.945196
-66.168517,92,239.532383
29.66211,372,241.917626
-74.305729,85,242.462596
44.330002,196,243.747058
-67.290643,213,245.10746
-59.067914,112,245.83367
-132.643142,294,247.711263
-69.788098,102,248.373645
-63.040598,94,248.986185
30.5163,488,252.098348
24.799628,350,272.594858
-17.278538,283,274.344277
-157.250334,144,285.107169
-124.462787,231,286.537525
-135.599226,106,287.214829
-64.303427,120,287.977982
-34.150297,168,289.071207
-71.598472,198,290.335964
-102.486547,137,291.223226
-73.280872,135,292.088918
25.417287,749,296.816767
-65.897443,137,297.687886
11.884382,261,299.341141
-92.792843,113,300.070667
-3.335238,313,302.134272
9.889634,367,304.562864
-145.922335,130,305.423992
-178.182457,216,306.882608
-391.471873,207,308.28629
-21.03681,116,325.376066
-113.048868,135,326.199219
-46.648339,182,327.33027
-122.134203,152,328.310295
-71.090123,124,329.079198
9.85327,365,331.407827
-110.424025,203,332.693473
-54.51715,137,333.550023
-65.640648,108,334.229962
19.01593,236,335.713729
-120.11772,105,336.396446
-113.731738,134,337.23708
-86.396868,91,337.813181
-57.913245,119,338.581031
-61.309677,139,339.468571
-85.474047,146,340.39652
-42.653027,113,341.108013
-94.226107,138,341.990645
-73.810027,99,342.630314
-105.801759,138,343.51713
-69.436507,83,344.078728
-118.383943,101,344.753966
-161.793112,117,345.540786
95.364116,347,347.859681
-57.427122,130,348.737033
20.095693,343,351.043724
-108.912848,120,367.492149
-29.317354,166,368.540705
-86.515529,111,369.440396
-19.270768,373,371.853308
-74.710283,116,372.605418
20.440118,324,374.678123
62.845075,270,376.390699
-31.013794,123,377.189019
-58.625244,187,378.394258
-83.092143,138,379.278222
-103.855651,142,380.189721
-58.755867,122,380.975495
-78.124689,106,381.664913
35.720047,278,383.459023
-59.69627,168,384.561975
-98.249874,178,385.712576
63.368091,449,388.668969
11.030771,386,391.247565
-57.220497,136,392.160884
-176.834174,127,393.007816
-86.140198,136,410.280374
-49.343436,73,410.726258
36.319361,346,412.879597
-72.357479,97,413.503608
-50.230433,197,414.785934
-42.848518,122,415.575787
-55.224752,463,418.528948
17.83347,291,420.400134
63.570015,377,422.769207
-33.124471,241,424.27775
-194.64546,238,425.800032
-68.055083,78,426.301634
-28.284777,78,426.789123
7.00423,339,428.943594
-88.351986,172,430.055852
